"ANNEX IV: Emission projections reporting template - with measures","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38"
NA,NA,NA,NA,"NOx
(as NO2)","NMVOC","SOx 
(as SO2)","NH3","PM2.5","PM10","TSP","BC","CO","Pb","Cd","Hg","As","Cr","Cu","Ni","Se","Zn","PCDD/ PCDF
(dioxins/ furans)","benzo(a) pyrene","benzo(b) fluoranthene","benzo(k) fluoranthene","Indeno (1,2,3-cd) pyrene","Total 1-4","HCB","PCBs",NA,"Liquid Fuels","Solid Fuels","Gaseous Fuels","Biomass","Other Fuels","Other activity (specified)","Other Activity Units"
"NFR Aggregation for Gridding and LPS (GNFR)","NFR Code","Long name","Notes","kt","kt","kt","kt","kt","kt","kt","kt","kt","t","t","t","t","t","t","t","t","t","g I-TEQ","t","t","t","t","t","kg","kg",NA,"TJ NCV","TJ NCV","TJ NCV","TJ NCV","TJ NCV",NA,NA
"A_PublicPower","1A1a","Public electricity and heat production",NA,"57.620976346376999","1.0624295237200001","4.9148175645530001","0.38694267566399998","1.0673596899869999","1.1486648007419999","NE","3.3174527219000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1b","Petroleum refining",NA,"11.419655779513","0.60740257959900001","16.680276331268999","IE","0.38281448227100001","0.61050581653000002","NE","9.4729909130000008E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1c","Manufacture of solid fuels and other energy industries",NA,"43.143214833024999","1.5365268282610001","2.0293387377380001","IE","0.48536316389599998","0.51447859496299997","NE","0.27521112950400001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",NA,"3.592198311622","0.20296729112299999","1.342890761427","NE","0.17359804416300001","0.22947714957500001","NE","5.4301392610999998E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",NA,"0.67556218138699997","4.8446549338000001E-2","0.79425579421400005","NE","9.1516826588000005E-2","9.8766873249999998E-2","NE","2.9688361440000002E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2c","Stationary combustion in manufacturing industries and construction: Chemicals",NA,"5.8561959395000001","0.35381860025200002","1.4464138053460001","1.7339011800000001E-3","0.13068695202300001","0.13819215710800001","NE","2.4757425518999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2d","Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print",NA,"2.2671551389469999","0.21635228434600001","0.184724333391","1.691027912E-2","0.53086338257300003","0.54499289832099995","NE","7.8991276333999993E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2e","Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",NA,"3.3844228814549999","0.277650312058","1.1135171301340001","2.1460346930000001E-3","0.19491249513299999","0.208081138502","NE","1.8293370023000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2f","Stationary combustion in manufacturing industries and construction: Non-metallic minerals",NA,"11.715809517949999","0.606010473075","2.7632175397490002","0.36372743388399997","0.53606814508099998","0.69426398324799998","NE","6.6428577761999993E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A2gvii","Mobile combustion in manufacturing industries and construction (please specify in the IIR)",NA,"7.4582151539010004","7.8544734648779997","1.6406634853999999E-2","9.7329781140000002E-3","0.22340566934299999","0.44217009619300002","NE","0.104220660678","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2gviii","Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR)",NA,"46.510296873727","5.8099779241220002","15.484869521049999","9.9316192652999999E-2","4.0833799379900002","4.3037572906579999","NE","0.73000806239399996","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3ai(i)","International aviation LTO (civil)",NA,"10.230046671047001","0.987631545128","0.33570796340100001","NA","0.13134876771599999","0.19189149214699999","NE","2.3770520371000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3aii(i)","Domestic aviation LTO (civil)",NA,"1.312189891466","0.54118888322900005","5.5449988073000001E-2","NE","2.2106389226000001E-2","2.8688381576999999E-2","NE","3.5234327679999999E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bi","Road transport: Passenger cars",NA,"86.970772991353996","10.291987099615","0.21841561824899999","3.572971845089","0.60024089788900004","0.60024089788900004","NE","0.34982143147700001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bii","Road transport: Light duty vehicles",NA,"52.121515172473998","0.55122702490800002","9.2635911865000004E-2","0.57785704532399995","0.27829481603900003","0.27829481603900003","NE","0.19821116336899999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biii","Road transport: Heavy duty vehicles and buses",NA,"17.801314809882999","0.93061067662499997","0.106961269197","0.29023856677299997","0.202930224549","0.202930224549","NE","9.1711836860000007E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biv","Road transport: Mopeds & motorcycles",NA,"0.18151993711200001","0.46490971194800002","2.755802747E-3","9.0591287579999992E-3","1.1274785484999999E-2","1.1274785484999999E-2","NE","2.7593106290000002E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bv","Road transport: Gasoline evaporation",NA,"NA","14.322246479402001","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvi","Road transport: Automobile tyre and brake wear",NA,"NA","NA","NA","NA","7.2332212792509996","13.836841822490999","NE","1.6614622455900001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvii","Road transport: Automobile road abrasion",NA,"NA","NA","NA","NA","2.9384295377349998","5.4415361809910001","NE","0.115360567037","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3c","Railways",NA,"10.577524795397","0.49413457001799999","0.280457649069","4.6846696359999999E-3","0.30775383077099999","0.33694387012999999","NE","0.18955605780000001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3di(ii)","International inland waterways",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3dii","National navigation (shipping)",NA,"68.320047240432004","10.144840152551","5.9152286460169998","1.5194002547999999E-2","1.9615807182939999","2.0256837488169999","NE","0.73102462947000002","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3ei","Pipeline transport",NA,"IE","IE","IE","NA","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3eii","Other (please specify in the IIR)",NA,"3.792248770489","0.58570297645000002","4.9109853659999999E-3","3.0989529739999999E-3","0.20542000162499999","0.31255973893599998","NE","0.127508803196","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ai","Commercial/Institutional: Stationary",NA,"38.937028262996002","3.9225070597020002","1.4722229345740001","6.6063833069999996E-3","1.205061583157","1.3427486547630001","NE","0.47727091848999997","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4aii","Commercial/Institutional: Mobile",NA,"4.6519672338860003","0.73745120132499997","5.1690818850000002E-3","2.1200295159999999E-3","4.0880992243E-2","8.6609056492E-2","NE","2.4293840313000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4bi","Residential: Stationary",NA,"24.026771217646999","26.948301230559","35.176687673921002","0.637368421538","18.561523614618999","19.023669975554","NE","2.1133712625399999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4bii","Residential: Household and gardening (mobile)",NA,"0.88094734636299998","1.385076575112","1.250976322E-3","5.4980523800000002E-4","2.2420214758E-2","2.2420214758E-2","NE","1.0522322626999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ci","Agriculture/Forestry/Fishing: Stationary",NA,"4.8089170618620001","0.97085916471900002","0.16555341733000001","NA","0.68781653083200001","0.69606480352800004","NE","0.27288870938999998","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4cii","Agriculture/Forestry/Fishing: Off-road vehicles and other machinery",NA,"6.4592562639439999","1.40860638399","2.5775067265E-2","1.2152128934999999E-2","0.28899697770600002","0.48889450348000002","NE","0.19182302931600001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4ciii","Agriculture/Forestry/Fishing: National fishing",NA,"9.3597536971259991","0.40752421851999998","0.80820350136200003","1.7487194480000001E-3","0.166760198548","0.17601878672999999","NE","4.9297821105E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A5a","Other stationary (including military)",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A5b","Other, Mobile (including military, land based and recreational boats)",NA,"12.205951992377001","0.59244649251799997","0.69112754943200005","1.3467524189999999E-3","0.18084745481699999","0.187074660911","NE","4.5072837014E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1a","Fugitive emission from solid fuels: Coal mining and handling",NA,"NA","0.33678249999999998","NA","NA","4.7238250040000001E-3","3.1306117500000001E-2","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1b","Fugitive emission from solid fuels: Solid fuel transformation",NA,"4.7161399999999997E-3","0.25263196990600001","5.1171243730280001","4.6008000000000004E-3","0.62260067182900003","0.64030699253199996","NE","0.30507432919600003","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1c","Other fugitive emissions from solid fuels",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2ai","Fugitive emissions oil: Exploration, production, transport",NA,"9.2737354399999999E-3","20.985194739773998","5.1425519999999999E-5","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2aiv","Fugitive emissions oil: Refining and storage",NA,"NA","12.564992354363","IE","6.4918800000000002E-3","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2av","Distribution of oil products",NA,"NA","23.213272224448001","IE","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2b","Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",NA,"3.4053736900000001E-4","17.758990205284","NO","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2c","Venting and flaring (oil, gas, combined oil and gas)",NA,"1.362250147426","11.866082716969","0.22034821268099999","NA","0.45666779158600002","0.45666779158600002","NE","0.109600269981","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2d","Other fugitive emissions from energy production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A1","Cement production",NA,"NA","NA","NA","NA","1.7210163204000001E-2","5.7367210681000001E-2","NE","5.1630489599999998E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A2","Lime production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A3","Glass production",NA,"NA","0.17036185434199999","NA","0.44471568112600002","0.286321160272","0.32874563042600002","NE","3.9688285180000003E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5a","Quarrying and mining of minerals other than coal",NA,"NA","NA","NA","NA","0.88163200002499997","8.8163200002510003","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5b","Construction and demolition",NA,"NA","NA","NA","NA","2.7657620795089999","27.657620795086","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5c","Storage, handling and transport of mineral products",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A6","Other mineral products (please specify in the IIR)",NA,"NA","0.64191946313000003","5.8946423220049997","NA","1.398094899101","2.2131108205159999","NE","8.5680483999999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B1","Ammonia production",NA,"IE","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B2","Nitric acid production",NA,"7.4201679118000005E-2","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B3","Adipic acid production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B5","Carbide production",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B6","Titanium dioxide production",NA,"NA","NA","NA","NA","1.0413096304000001E-2","1.2545899161999999E-2","NE","1.8743573300000001E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B7","Soda ash production",NA,"NA","NA","NA","0.40500000000000003","9.3706999999999992E-3","1.129E-2","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10a","Chemical industry: Other (please specify in the IIR)",NA,"0.63522994461799998","8.4809386460030005","0.38524021645700002","0.367077386743","7.0300250913999995E-2","0.11795561807299999","NE","9.3366136399999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10b","Storage, handling and transport of chemical products (please specify in the IIR)",NA,"IE","2.059149465001","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C1","Iron and steel production",NA,"0.37554441696099999","0.40317914370300001","0.51593038571799998","NA","1.210025067566","2.145155860849","NE","4.4004381859999997E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C2","Ferroalloys production",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C3","Aluminium production",NA,"2.4514991859999999E-3","NA","0.41373777751899998","NA","2.1077078611999998E-2","3.9679711111E-2","NE","4.8477280799999998E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C4","Magnesium production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C5","Lead production",NA,"NA","NA","0.63840632908999995","NA","3.5983672209999999E-3","7.1967344419999997E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C6","Zinc production",NA,"NA","NA","NA","NA","9.1112846899999995E-4","1.1914756910000001E-3","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7a","Copper production",NA,"NA","NA","NA","NA","3.7659575760000002E-3","4.9552073369999996E-3","NE","3.7659580000000001E-6","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7b","Nickel production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7c","Other metal production (please specify in the IIR)",NA,"NA","NA","NA","2.8100751870000001E-3","0.21449419538699999","0.228082235573","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7d","Storage, handling and transport of metal products 
(please specify in the IIR)",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3a","Domestic solvent use including fungicides",NA,"NA","171.49147465140001","NA","1.2343092311899999","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3b","Road paving with asphalt",NA,"NA","2.1574316364000001","NA","NA","0.17666438415999999","0.60918753158600003","NE","1.0069869897000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3c","Asphalt roofing",NA,"NA","NE","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3d","Coating applications",NA,"NA","57.416160702492","NA","NA","0.26135811252500002","0.63271119238700002","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3e","Degreasing",NA,"NA","10.871176949361001","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3f","Dry cleaning",NA,"NA","0.67483429303499998","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
