"ANNEX IV: Emission projections reporting template - with measures","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38"
NA,NA,NA,NA,"NOx
(as NO2)","NMVOC","SOx 
(as SO2)","NH3","PM2.5","PM10","TSP","BC","CO","Pb","Cd","Hg","As","Cr","Cu","Ni","Se","Zn","PCDD/ PCDF
(dioxins/ furans)","benzo(a) pyrene","benzo(b) fluoranthene","benzo(k) fluoranthene","Indeno (1,2,3-cd) pyrene","Total 1-4","HCB","PCBs",NA,"Liquid Fuels","Solid Fuels","Gaseous Fuels","Biomass","Other Fuels","Other activity (specified)","Other Activity Units"
"NFR Aggregation for Gridding and LPS (GNFR)","NFR Code","Long name","Notes","kt","kt","kt","kt","kt","kt","kt","kt","kt","t","t","t","t","t","t","t","t","t","g I-TEQ","t","t","t","t","t","kg","kg",NA,"TJ NCV","TJ NCV","TJ NCV","TJ NCV","TJ NCV",NA,NA
"A_PublicPower","1A1a","Public electricity and heat production",NA,"23.778631129981001","0.37378837012799998","1.8622818392280001","0.16632683862","0.177931823382","0.18502655821700001","NE","6.9510748730000002E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1b","Petroleum refining",NA,"9.6940075846720006","0.51598414209700005","14.149470611101","IE","0.32474791602699998","0.51789407071100002","NE","8.0372311349999996E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1c","Manufacture of solid fuels and other energy industries",NA,"9.7411057570710007","1.4303087290430001","0.80059470898899998","IE","9.2581049804000004E-2","9.7811283917000003E-2","NE","3.7488369909000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",NA,"3.8269940981110002","0.14497614035299999","0.80460022563099998","NE","0.15121749648400001","0.22012955015399999","NE","4.6207668941999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",NA,"0.87747212348400005","6.3286433380999998E-2","1.0095397592240001","NE","0.116449144837","0.12566154051100001","NE","3.7819318329999998E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2c","Stationary combustion in manufacturing industries and construction: Chemicals",NA,"7.6927783691020002","0.45796616004599999","1.830682257549","1.165489919E-3","0.13675439065700001","0.14550154156699999","NE","2.6933501334999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2d","Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print",NA,"2.0126789004650001","0.17442767118300001","0.13551299126399999","1.1366714587999999E-2","0.36022645474100001","0.36974651492400001","NE","5.3481664215000002E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2e","Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",NA,"4.2170457753689998","0.34684395990599998","1.3952346377939999","1.442516926E-3","0.20567009388099999","0.22134070771200001","NE","1.7227942733999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2f","Stationary combustion in manufacturing industries and construction: Non-metallic minerals",NA,"14.093584403713001","0.68282879126499996","3.4074327591000002","0.45019270638499997","0.42661326982300002","0.61920087321499995","NE","4.6376476016999998E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A2gvii","Mobile combustion in manufacturing industries and construction (please specify in the IIR)",NA,"9.9778402286599999","5.562379581209","2.1586174566999999E-2","1.2810171231000001E-2","0.21040025225799999","0.44217009619300002","NE","9.6033113384000002E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2gviii","Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR)",NA,"46.964724491551003","5.978633351029","17.4488831944","6.6758142069999998E-2","3.3994027542829999","3.6375743494120001","NE","0.67907811877900004","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3ai(i)","International aviation LTO (civil)",NA,"10.786786515580999","0.86602106861399997","0.212448148659","NA","0.134207606245","0.21286344441800001","NE","2.5416467851000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3aii(i)","Domestic aviation LTO (civil)",NA,"1.3410517087430001","0.45776772182199998","3.3773612549999998E-2","NE","2.0359803570000001E-2","2.8910990027999999E-2","NE","3.3235169060000002E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bi","Road transport: Passenger cars",NA,"8.8170783849840006","2.5260284111010001","9.8544345913E-2","2.2913182584570002","0.14829413479100001","0.14829413479100001","NE","2.3446980760999998E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bii","Road transport: Light duty vehicles",NA,"10.332656085201","4.1971569310999997E-2","6.7979737030000001E-2","0.50201442662700002","4.8713496417999998E-2","4.8713496417999998E-2","NE","9.7864052979999994E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biii","Road transport: Heavy duty vehicles and buses",NA,"9.2249341571549994","0.85406869565099996","0.11246670204799999","0.304525905539","0.106716507227","0.106716507227","NE","1.5938545355999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biv","Road transport: Mopeds & motorcycles",NA,"8.3636139718000005E-2","0.18452497086200001","2.713808944E-3","9.1599212650000008E-3","4.9380920010000003E-3","4.9380920010000003E-3","NE","1.184405678E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bv","Road transport: Gasoline evaporation",NA,"NA","12.406097902835","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvi","Road transport: Automobile tyre and brake wear",NA,"NA","NA","NA","NA","7.2141870461559998","12.960410317331","NE","1.8904956751469999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvii","Road transport: Automobile road abrasion",NA,"NA","NA","NA","NA","3.5422699154539998","6.5597591026930004","NE","0.13906689297700001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3c","Railways",NA,"9.6417330336759992","0.493520897919","0.41567803456500002","4.9611965290000002E-3","0.25558604275899999","0.299110078562","NE","0.15049877893399999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3di(ii)","International inland waterways",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3dii","National navigation (shipping)",NA,"35.674702796734998","13.058795178592","5.3776790968729999","1.4965246858999999E-2","2.222734608174","2.2828254786779998","NE","0.873461855801","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3ei","Pipeline transport",NA,"IE","IE","IE","NA","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3eii","Other (please specify in the IIR)",NA,"4.9959068321890001","0.64961840304100005","9.2311601639999998E-3","5.8231580750000003E-3","6.8719958558999997E-2","0.31255973893599998","NE","4.2656019872000003E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ai","Commercial/Institutional: Stationary",NA,"41.744235423128998","4.1568898443549998","1.586424847502","5.4194044369999996E-3","1.247016805431","1.3954513999960001","NE","0.51125453558300005","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4aii","Commercial/Institutional: Mobile",NA,"6.4955640597049999","1.0210269928719999","7.3272313400000004E-3","3.0142664830000001E-3","3.1407504963000002E-2","9.3900152569000001E-2","NE","1.7970701147000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4bi","Residential: Stationary",NA,"23.316769625408","17.030795456783","19.226508860083001","0.48967046168900003","11.826476493015001","12.128571711093","NE","1.3825351737780001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4bii","Residential: Household and gardening (mobile)",NA,"0.95689760459399997","1.504489981581","1.3588283689999999E-3","5.9720631200000003E-4","2.4353157864999999E-2","2.4353157864999999E-2","NE","1.1429497300000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ci","Agriculture/Forestry/Fishing: Stationary",NA,"4.9303695765500004","0.99630675448499995","0.165916623816","NA","0.68924019353300003","0.69744078499899997","NE","0.27468524027800001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4cii","Agriculture/Forestry/Fishing: Off-road vehicles and other machinery",NA,"2.9457006549820002","1.1674161461570001","2.7074809073E-2","1.2993772652E-2","5.0579534670000002E-2","0.48889450348000002","NE","3.3552277170999997E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4ciii","Agriculture/Forestry/Fishing: National fishing",NA,"2.823870497853","0.31839977900900002","0.61103916433500005","1.3655638839999999E-3","0.13155633026899999","0.13886038660399999","NE","3.8821252048E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A5a","Other stationary (including military)",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A5b","Other, Mobile (including military, land based and recreational boats)",NA,"12.205951992377001","0.59244649251799997","0.69112754943200005","1.3467524189999999E-3","0.18084745481699999","0.187074660911","NE","4.5072837014E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1a","Fugitive emission from solid fuels: Coal mining and handling",NA,"NA","0.1469125","NA","NA","4.4073750039999998E-3","2.8647937500000002E-2","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1b","Fugitive emission from solid fuels: Solid fuel transformation",NA,"4.7161399999999997E-3","0.25263196990600001","5.1171243730280001","4.6008000000000004E-3","0.62260067182900003","0.64030699253199996","NE","0.30507432919600003","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1c","Other fugitive emissions from solid fuels",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2ai","Fugitive emissions oil: Exploration, production, transport",NA,"2.6903685299999999E-3","6.0879359653679996","1.4918864E-5","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2aiv","Fugitive emissions oil: Refining and storage",NA,"NA","12.564992354363","IE","6.4918800000000002E-3","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2av","Distribution of oil products",NA,"NA","21.571106202944001","IE","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2b","Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",NA,"4.0832528000000002E-5","13.567844517500999","NO","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2c","Venting and flaring (oil, gas, combined oil and gas)",NA,"0.26967325319899998","3.6180801299669998","6.3681400737000002E-2","NA","0.119500939231","0.119500939231","NE","2.8680225415E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2d","Other fugitive emissions from energy production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A1","Cement production",NA,"NA","NA","NA","NA","2.1753463167000001E-2","7.2511543890000002E-2","NE","6.5260389499999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A2","Lime production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A3","Glass production",NA,"NA","0.213859693224","NA","0.560298596491","0.33637459156999999","0.38553701013800001","NE","4.944686926E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5a","Quarrying and mining of minerals other than coal",NA,"NA","NA","NA","NA","1.1143734671009999","11.143734671005999","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5b","Construction and demolition",NA,"NA","NA","NA","NA","3.4958938396399999","34.958938396401003","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5c","Storage, handling and transport of mineral products",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A6","Other mineral products (please specify in the IIR)",NA,"NA","0.64191946313000003","5.8946423220049997","NA","1.402358752159","2.22732366404","NE","8.5680483999999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B1","Ammonia production",NA,"IE","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B2","Nitric acid production",NA,"0.106553963599","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B3","Adipic acid production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B5","Carbide production",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B6","Titanium dioxide production",NA,"NA","NA","NA","NA","1.4953255745E-2","1.8015970776999998E-2","NE","2.69158603E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B7","Soda ash production",NA,"NA","NA","NA","0.40500000000000003","9.3706999999999992E-3","1.129E-2","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10a","Chemical industry: Other (please specify in the IIR)",NA,"0.91219321718699997","8.556007356496","0.48729332030299999","0.52712487061900004","7.8917901339999999E-2","0.129323749854","NE","9.4413748199999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10b","Storage, handling and transport of chemical products (please specify in the IIR)",NA,"IE","2.9569484106689998","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C1","Iron and steel production",NA,"0.96829290972399995","0.38757603461899998","0.52982616506900004","NA","0.38494594224099998","0.75929650412899996","NE","3.10814449E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C2","Ferroalloys production",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C3","Aluminium production",NA,"3.4909374429999999E-3","NA","0.58916303439499995","NA","3.0013782318999999E-2","5.6503950745000003E-2","NE","6.90316993E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C4","Magnesium production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C5","Lead production",NA,"NA","NA","0.90909129033299996","NA","5.1192170480000004E-3","1.0238434096000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C6","Zinc production",NA,"NA","NA","NA","NA","1.297447908E-3","1.696662649E-3","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7a","Copper production",NA,"NA","NA","NA","NA","5.3627275859999997E-3","7.0562205079999999E-3","NE","5.3627280000000003E-6","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7b","Nickel production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7c","Other metal production (please specify in the IIR)",NA,"NA","NA","NA","4.0015500500000002E-3","0.30543996193099998","0.32478934557900002","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7d","Storage, handling and transport of metal products 
(please specify in the IIR)",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3a","Domestic solvent use including fungicides",NA,"NA","196.87524390199599","NA","1.3742472479400001","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3b","Road paving with asphalt",NA,"NA","2.726970632439","NA","NA","0.22330190179500001","0.77000655791499995","NE","1.2728208402000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3c","Asphalt roofing",NA,"NA","NE","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3d","Coating applications",NA,"NA","74.194397759371","NA","NA","0.34009324731099999","0.82335968104199997","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3e","Degreasing",NA,"NA","10.911926275994","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3f","Dry cleaning",NA,"NA","0.71140534084899998","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
