"ANNEX IV: Emission projections reporting template - with measures","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38"
NA,NA,NA,NA,"NOx
(as NO2)","NMVOC","SOx 
(as SO2)","NH3","PM2.5","PM10","TSP","BC","CO","Pb","Cd","Hg","As","Cr","Cu","Ni","Se","Zn","PCDD/ PCDF
(dioxins/ furans)","benzo(a) pyrene","benzo(b) fluoranthene","benzo(k) fluoranthene","Indeno (1,2,3-cd) pyrene","Total 1-4","HCB","PCBs",NA,"Liquid Fuels","Solid Fuels","Gaseous Fuels","Biomass","Other Fuels","Other activity (specified)","Other Activity Units"
"NFR Aggregation for Gridding and LPS (GNFR)","NFR Code","Long name","Notes","kt","kt","kt","kt","kt","kt","kt","kt","kt","t","t","t","t","t","t","t","t","t","g I-TEQ","t","t","t","t","t","kg","kg",NA,"TJ NCV","TJ NCV","TJ NCV","TJ NCV","TJ NCV",NA,NA
"A_PublicPower","1A1a","Public electricity and heat production",NA,"29.592495605737","0.43408296412300001","2.417190874853","0.23087896672800001","0.269295000374","0.28563168770300001","NE","9.9743572129999993E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1b","Petroleum refining",NA,"9.6940075846720006","0.51598414209700005","14.149470611101","IE","0.32474791602699998","0.51789407071100002","NE","8.0372311349999996E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A1c","Manufacture of solid fuels and other energy industries",NA,"15.864109548256","1.3788962535960001","1.0299494227349999","IE","0.16456547131499999","0.174273210539","NE","8.1997831458000006E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",NA,"3.916714352589","0.14689244809499999","0.84088208184400004","NE","0.15700027125800001","0.22784273916200001","NE","4.8297189561000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",NA,"0.79113903098500005","5.6892705675000002E-2","0.91959633840599997","NE","0.10601237147000001","0.114404157906","NE","3.4447860239999999E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2c","Stationary combustion in manufacturing industries and construction: Chemicals",NA,"6.9746896047689999","0.41593013208500001","1.671595047836","1.228902179E-3","0.12973611926100001","0.137936297071","NE","2.5449474387000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2d","Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print",NA,"1.9600801179230001","0.174524273343","0.13892121290600001","1.1985157571000001E-2","0.378519111633","0.38855028328000002","NE","5.6268766711E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2e","Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",NA,"3.8178494267579999","0.314509323442","1.273224533819","1.521001739E-3","0.19355069583699999","0.20800772985800001","NE","1.6655696032000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2f","Stationary combustion in manufacturing industries and construction: Non-metallic minerals",NA,"13.105235366938","0.64222591072900004","3.155318781704","0.41662747075500001","0.43111707123199999","0.60983856178499996","NE","4.8412956037999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A2gvii","Mobile combustion in manufacturing industries and construction (please specify in the IIR)",NA,"9.9778402286599999","5.562379581209","2.1586174566999999E-2","1.2810171231000001E-2","0.21040025225799999","0.44217009619300002","NE","9.6033113384000002E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","1A2gviii","Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR)",NA,"44.82417917926","5.7854048644049998","16.490635409772","7.0390335361000006E-2","3.3945332148410001","3.620626693468","NE","0.66895027901899995","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3ai(i)","International aviation LTO (civil)",NA,"10.07602575564","0.97533647549500002","0.27287143337999997","NA","0.14386363211799999","0.222519470291","NE","2.6864871732000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"H_Aviation","1A3aii(i)","Domestic aviation LTO (civil)",NA,"1.2611514666899999","0.522375879027","4.4021875766000002E-2","NE","2.2575899497999999E-2","3.1127085956E-2","NE","3.655931295E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bi","Road transport: Passenger cars",NA,"10.393160016396999","2.886798386493","0.10661523578900001","2.435097380217","0.156224359309","0.156224359309","NE","2.4785109860000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bii","Road transport: Light duty vehicles",NA,"12.210742079168","5.1189870440999999E-2","7.5169863126000006E-2","0.554181918454","5.4357358825E-2","5.4357358825E-2","NE","1.0905854085E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biii","Road transport: Heavy duty vehicles and buses",NA,"9.1837853847840005","0.84507975798500001","0.111060053018","0.300694762005","0.105613770399","0.105613770399","NE","1.5773134832000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3biv","Road transport: Mopeds & motorcycles",NA,"8.5299588028000001E-2","0.18818397913599999","2.7118792700000002E-3","9.1345005949999992E-3","4.9919194029999997E-3","4.9919194029999997E-3","NE","1.197898201E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bv","Road transport: Gasoline evaporation",NA,"NA","12.713729286887","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvi","Road transport: Automobile tyre and brake wear",NA,"NA","NA","NA","NA","7.1322727282049998","12.91126097583","NE","1.8417969858609999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"F_RoadTransport","1A3bvii","Road transport: Automobile road abrasion",NA,"NA","NA","NA","NA","3.4420228263710002","6.3741163451320002","NE","0.135131266517","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3c","Railways",NA,"9.6334588952909996","0.48442843815600001","0.38278975767099999","4.9611874359999997E-3","0.253443859238","0.29347275350899998","NE","0.15036167918900001","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3di(ii)","International inland waterways",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"G_Shipping","1A3dii","National navigation (shipping)",NA,"40.588631848906999","12.254544515838999","5.4829634326510002","1.4944920484E-2","2.147753256294","2.2085403868340001","NE","0.835026958569","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3ei","Pipeline transport",NA,"IE","IE","IE","NA","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A3eii","Other (please specify in the IIR)",NA,"4.9959068321890001","0.64961840304100005","9.2311601639999998E-3","5.8231580750000003E-3","6.8719958558999997E-2","0.31255973893599998","NE","4.2656019872000003E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ai","Commercial/Institutional: Stationary",NA,"41.516305684479001","4.1556718895209999","1.539485275771","5.5929060570000001E-3","1.238876242338","1.385492430634","NE","0.50656200592900003","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4aii","Commercial/Institutional: Mobile",NA,"6.4955640597049999","1.0210269928719999","7.3272313400000004E-3","3.0142664830000001E-3","3.1407504963000002E-2","9.3900152569000001E-2","NE","1.7970701147000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4bi","Residential: Stationary",NA,"23.516441967117","19.736193072618001","22.928899088794999","0.55804998880599999","13.949531880264001","14.306227981787","NE","1.633682577788","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4bii","Residential: Household and gardening (mobile)",NA,"0.95689760459399997","1.504489981581","1.3588283689999999E-3","5.9720631200000003E-4","2.4353157864999999E-2","2.4353157864999999E-2","NE","1.1429497300000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A4ci","Agriculture/Forestry/Fishing: Stationary",NA,"4.8357483924790001","0.97829488729500003","0.16397325424299999","NA","0.68711996072199999","0.69534106267700002","NE","0.27332030338899999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4cii","Agriculture/Forestry/Fishing: Off-road vehicles and other machinery",NA,"2.9457006549820002","1.1674161461570001","2.7074809073E-2","1.2993772652E-2","5.0579534670000002E-2","0.48889450348000002","NE","3.3552277170999997E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A4ciii","Agriculture/Forestry/Fishing: National fishing",NA,"3.8222682243869999","0.33873020614900001","0.65567267081900005","1.452954587E-3","0.13960801013900001","0.14735909873200001","NE","4.1216200436000001E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"C_OtherStationaryComb","1A5a","Other stationary (including military)",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"I_Offroad","1A5b","Other, Mobile (including military, land based and recreational boats)",NA,"12.205951992377001","0.59244649251799997","0.69112754943200005","1.3467524189999999E-3","0.18084745481699999","0.187074660911","NE","4.5072837014E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1a","Fugitive emission from solid fuels: Coal mining and handling",NA,"NA","0.1469125","NA","NA","4.4073750039999998E-3","2.8647937500000002E-2","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1b","Fugitive emission from solid fuels: Solid fuel transformation",NA,"4.7161399999999997E-3","0.25263196990600001","5.1171243730280001","4.6008000000000004E-3","0.62260067182900003","0.64030699253199996","NE","0.30507432919600003","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B1c","Other fugitive emissions from solid fuels",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2ai","Fugitive emissions oil: Exploration, production, transport",NA,"3.6758749370000001E-3","8.3180021578590004","2.0383780000000002E-5","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2aiv","Fugitive emissions oil: Refining and storage",NA,"NA","12.564992354363","IE","6.4918800000000002E-3","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2av","Distribution of oil products",NA,"NA","21.571106202944001","IE","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2b","Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",NA,"6.5802666999999996E-5","13.600979843897001","NO","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2c","Venting and flaring (oil, gas, combined oil and gas)",NA,"0.39014196236199999","4.767934289816","8.7050453740000006E-2","NA","0.16551779632399999","0.16551779632399999","NE","3.9724271117999997E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"D_Fugitive","1B2d","Other fugitive emissions from energy production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A1","Cement production",NA,"NA","NA","NA","NA","2.0072396970999998E-2","6.6907989902000004E-2","NE","6.0217190900000003E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A2","Lime production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A3","Glass production",NA,"NA","0.197569449427","NA","0.517011989191","0.31762923272600002","0.36426824265699997","NE","4.5792211519999999E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5a","Quarrying and mining of minerals other than coal",NA,"NA","NA","NA","NA","1.0282568082850001","10.282568082848","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5b","Construction and demolition",NA,"NA","NA","NA","NA","3.2257378228890001","32.257378228893998","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A5c","Storage, handling and transport of mineral products",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2A6","Other mineral products (please specify in the IIR)",NA,"NA","0.64191946313000003","5.8946423220049997","NA","1.400781084098","2.2220647705049998","NE","8.5680483999999997E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B1","Ammonia production",NA,"IE","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B2","Nitric acid production",NA,"9.8233997990000002E-2","IE","NA","IE","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B3","Adipic acid production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B5","Carbide production",NA,"NO","NO","NO","NO","NO","NO","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B6","Titanium dioxide production",NA,"NA","NA","NA","NA","1.378567296E-2","1.6609244531E-2","NE","2.4814211300000001E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B7","Soda ash production",NA,"NA","NA","NA","0.40500000000000003","9.3706999999999992E-3","1.129E-2","NE","NO","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10a","Chemical industry: Other (please specify in the IIR)",NA,"0.84096718354599997","8.5367021018700004","0.46104854878399998","0.48596581236199998","7.6701719195999996E-2","0.12640023248900001","NE","9.41443361E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2B10b","Storage, handling and transport of chemical products (please specify in the IIR)",NA,"IE","2.7260634369550001","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C1","Iron and steel production",NA,"0.96829290972399995","0.38757603461899998","0.52982616506900004","NA","0.38494594224099998","0.75929650412899996","NE","3.10814449E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C2","Ferroalloys production",NA,"IE","IE","IE","IE","IE","IE","NE","IE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C3","Aluminium production",NA,"3.2183548229999998E-3","NA","0.543159459023","NA","2.7670218284999999E-2","5.2091956772E-2","NE","6.3641502100000001E-4","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C4","Magnesium production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C5","Lead production",NA,"NA","NA","0.83810677967400005","NA","4.7195255850000003E-3","9.4390511700000006E-3","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C6","Zinc production",NA,"NA","NA","NA","NA","1.1961393749999999E-3","1.5641822599999999E-3","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7a","Copper production",NA,"NA","NA","NA","NA","4.9439901089999997E-3","6.5052501429999996E-3","NE","4.9439899999999997E-6","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7b","Nickel production",NA,"NA","NA","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7c","Other metal production (please specify in the IIR)",NA,"NA","NA","NA","3.6890973020000002E-3","0.28159031507600002","0.29942884217499999","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2C7d","Storage, handling and transport of metal products 
(please specify in the IIR)",NA,"NA","NA","NA","NA","IE","IE","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3a","Domestic solvent use including fungicides",NA,"NA","189.89994491737599","NA","1.340724337588","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3b","Road paving with asphalt",NA,"NA","2.5162355364529998","NA","NA","0.20604555618299999","0.71050191787200001","NE","1.1744596701999999E-2","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"B_Industry","2D3c","Asphalt roofing",NA,"NA","NE","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3d","Coating applications",NA,"NA","69.821368867513002","NA","NA","0.31954989843499998","0.77361621612599996","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3e","Degreasing",NA,"NA","10.902307788021","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
"E_Solvents","2D3f","Dry cleaning",NA,"NA","0.70328209024699995","NA","NA","NA","NA","NE","NA","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE","NE",NA,"NE","NE","NE","NE","NE","NE","NE"
